st,square_miles
AK,665384
TX,268596
CA,163695
MT,147040
NM,121590
AZ,113990
NV,110572
CO,104094
OR,98379
WY,97813
MI,96714
MN,86936
UT,84897
ID,83569
KS,82278
NE,77348
SD,77116
WA,71298
ND,70698
OK,69899
MO,69707
FL,65758
WI,65496
GA,59425
IL,57914
IA,56273
NY,54555
NC,53819
AR,53179
AL,52420
LA,52378
MS,48432
PA,46054
OH,44826
VA,42775
TN,42144
KY,40408
IN,36420
ME,35380
SC,32020
WV,24230
MD,12406
HI,10932
MA,10554
VT,9616
NH,9349
NJ,8723
CT,5543
PR,5325
,3860
DE,2489
,1976
RI,1545
VI,733
,581
,571
DC,68
,3120428
,3796676
,3796744
,3805927
